net,length_um
_053_,121.04
_043_,116.78
_046_,116.62
_059_,109.04
_039_,93.88
net36,56.75
net20,38.035
net15,34.8
net12,30.58
net19,28.08
_049_,27.69
_047_,26.6
net6,25.81
_023_,25.32
net1,24.8
net2,23.88
_011_,23.87
net7,23.68
_090_,23.56
net11,22.94
_008_,22.22
_015_,21.78
_087_,21.68
_065_,21.6
_102_,21.54
b[3],21.44
_100_,21.42
_021_,21.3
net13,21.28
net14,21.21
net10,20.94
net3,20.82
_062_,20.5
net9,20.02
net8,20
a[3],19.66
_078_,19.56
net5,19.44
net24,19.28
_026_,18.92
_094_,17.98
_089_,17.86
net4,17.8
net35,17.6
_050_,17.28
net16,16.9
a[4],16.84
_010_,16.6
_028_,16.28
net23,16.02
_066_,15.82
_054_,15.66
_025_,15.44
_082_,15.32
_024_,14.76
_040_,14.66
_048_,14.265
net32,14.22
result[3],13.98
_056_,13.82
net17,13.8
_000_,13.72
_041_,13.5
net18,13.08
b[4],12.7
_091_,12.24
_103_,12.22
_064_,12.16
_076_,11.55
_067_,11.32
_004_,11.24
_016_,11.22
result[0],10.8
_104_,10.74
_063_,10.34
_095_,10.08
_051_,10.06
_012_,9.84
_003_,9.78
_079_,9.58
_027_,9.4
result[1],8.96
net30,8.95
_083_,8.82
net34,8.74
a[0],8.72
b[0],8.72
b[7],8.72
cin,8.72
op[0],8.72
cout,8.38
a[7],8.26
net42,8.2
result[2],8.13
_042_,7.9
_058_,7.86
_009_,7.7
_002_,7.44
_070_,7.36
_007_,7.24
_014_,7.12
_092_,6.86
_020_,6.78
op[1],6.77
_037_,6.64
_093_,6.64
net39,6.54
_052_,6.32
_057_,6.2
net21,6.14
net33,6.06
_077_,5.8
a[1],5.63
b[2],5.63
_073_,5.38
net41,5.28
net27,5.22
_029_,5.16
result[4],5.07
result[6],5.07
result[7],5.07
net25,5.04
a[5],4.95
b[6],4.95
_035_,4.94
net31,4.92
alu4.result,4.8
op[2],4.73
result[5],4.73
a[6],4.61
b[1],4.61
b[5],4.61
_013_,4.58
_030_,4.46
_075_,4.46
alu5.result,4.46
alu6.result,4.46
_080_,4.34
alu3.result,4.34
_061_,4.22
_001_,4.12
_060_,4
net37,4
a[2],3.93
_022_,3.88
_069_,3.88
_081_,3.88
net38,3.54
_072_,3.44
_055_,3.43
_088_,3.1
_071_,3.08
net40,2.98
_031_,2.62
_033_,2.62
_044_,2.62
_045_,2.62
alu0.result,2.62
alu2.result,2.62
_099_,2.5
net22,2.5
_085_,2.16
_097_,2.16
_101_,2.16
alu1.result,2.16
alu7.result,2.16
_019_,2.04
_084_,1.95
_032_,1.84
_098_,1.84
_006_,1.7
_018_,1.7
net29,1.7
net26,1.6
_005_,1.49
_017_,1.49
_096_,1.49
_074_,1.38
_068_,1.14
net28,1.14
_036_,1.02
_086_,0.92
_034_,0.46
_038_,0.46
